code|1,code|1|type,description,hospital_name,hospital_city,hospital_state,med_min,med_max
103,EAPG,LEVEL II VARICOSE VEIN AND RELATED PROCEDURES,The Mount Sinai Hospital,New York,NY,2582.51,6248.9
103,MS-DRG,HEADACHES W/O MCC,The Cleveland Clinic Foundation,Cleveland,OH,8108.19,28700.0
103,MS-DRG,HEADACHES WITHOUT MCC,The Cleveland Clinic Foundation,Cleveland,OH,8108.19,28700.0
103,MS-DRG,HEADACHES WITHOUT MCC,The Mount Sinai Hospital,New York,NY,5213.83,31374.2
103,MS-DRG,HEADACHES WITHOUT MCC,The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,25334.61
103,MS-DRG,Headaches Without McC,Mayo Clinic,Phoenix,AZ,5720.9,34233.63
103,MS-DRG,Headaches Without Mcc,Johns Hopkins Howard County Medical Center,Columbia,MD,3439.49,15397.84
103,MS-DRG,Headaches Without Mcc,The Johns Hopkins Hospital,Baltimore,MD,1611.57,26561.19
103,MS-DRG,Headaches w/o MCC,The Cleveland Clinic Foundation,Cleveland,OH,8108.19,28700.0
123,EAPG,PERIPHERAL VASCULAR BYPASS PROCEDURES,The Mount Sinai Hospital,New York,NY,2530.29,6122.55
123,MS-DRG,NEUROLOGICAL EYE DISORDERS,The Cleveland Clinic Foundation,Cleveland,OH,7703.92,22022.94
123,MS-DRG,NEUROLOGICAL EYE DISORDERS,The Mount Sinai Hospital,New York,NY,4976.16,29944.04
123,MS-DRG,NEUROLOGICAL EYE DISORDERS,The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,24007.38
123,MS-DRG,Neurological Eye Disorders,Johns Hopkins Howard County Medical Center,Columbia,MD,6457.24,10866.81
123,MS-DRG,Neurological Eye Disorders,Mayo Clinic,Phoenix,AZ,5460.12,31688.01
123,MS-DRG,Neurological Eye Disorders,The Johns Hopkins Hospital,Baltimore,MD,6572.94,73720.72
123,MS-DRG,Neurological eye disorders,The Cleveland Clinic Foundation,Cleveland,OH,7703.92,22022.94
123,RC,Pediatric,The Mount Sinai Hospital,New York,NY,4543.0,4543.0
125,EAPG,LEVEL I ESOPHAGEAL AND GASTRIC SURGICAL PROCEDURES,The Mount Sinai Hospital,New York,NY,1930.0,4670.02
125,MS-DRG,OTHER DISORDERS OF THE EYE W/O MCC,The Cleveland Clinic Foundation,Cleveland,OH,7897.46,22639.87
125,MS-DRG,OTHER DISORDERS OF THE EYE WITHOUT MCC,The Cleveland Clinic Foundation,Cleveland,OH,7897.46,22639.87
125,MS-DRG,OTHER DISORDERS OF THE EYE WITHOUT MCC,The Mount Sinai Hospital,New York,NY,4935.93,29701.95
125,MS-DRG,OTHER DISORDERS OF THE EYE WITHOUT MCC,The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,24642.7
125,MS-DRG,Other Disorders Of The Eye Without McC,Mayo Clinic,Phoenix,AZ,5415.97,23320.7
125,MS-DRG,Other Disorders Of The Eye Without Mcc,Johns Hopkins Howard County Medical Center,Columbia,MD,2682.9,4624.46
125,MS-DRG,Other Disorders Of The Eye Without Mcc,The Johns Hopkins Hospital,Baltimore,MD,1205.57,29345.3
125,RC,Hospice,The Mount Sinai Hospital,New York,NY,4543.0,4543.0
141,APR-DRG,ASTHMA,Mayo Clinic,Phoenix,AZ,1636.29,37091.88
141,EAPG,LEVEL I ANAL AND RECTAL PROCEDURES,The Mount Sinai Hospital,New York,NY,1174.25,2841.34
141,MS-DRG,MAJOR HEAD AND NECK PROCEDURES WITH CC,The Cleveland Clinic Foundation,Cleveland,OH,16500.0,58909.72
141,MS-DRG,MAJOR HEAD AND NECK PROCEDURES WITH CC,The Mount Sinai Hospital,New York,NY,12822.28,77158.03
141,MS-DRG,MAJOR HEAD AND NECK PROCEDURES WITH CC,The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,70160.27
141,MS-DRG,Major Head And Neck Procedures With Cc,Johns Hopkins Howard County Medical Center,Columbia,MD,14944.56,14944.56
141,MS-DRG,Major Head And Neck Procedures With Cc,Mayo Clinic,Phoenix,AZ,14069.3,108443.11
141,MS-DRG,Major Head And Neck Procedures With Cc,The Johns Hopkins Hospital,Baltimore,MD,13776.5,93490.18
142,EAPG,ANESTH LENS SURGERY,The Cleveland Clinic Foundation,Cleveland,OH,198.95,230.36
142,EAPG,LEVEL II ANAL AND RECTAL PROCEDURES,The Mount Sinai Hospital,New York,NY,1652.72,3999.09
142,MS-DRG,MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC,The Cleveland Clinic Foundation,Cleveland,OH,14320.24,43113.64
142,MS-DRG,MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC,The Mount Sinai Hospital,New York,NY,9562.4,57541.71
142,MS-DRG,MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC,The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,55594.76
142,MS-DRG,Major Head And Neck Procedures Without Cc/McC,Mayo Clinic,Phoenix,AZ,10492.39,108475.04
142,MS-DRG,Major Head And Neck Procedures Without Cc/Mcc,Johns Hopkins Howard County Medical Center,Columbia,MD,12002.75,20352.93
142,MS-DRG,Major Head And Neck Procedures Without Cc/Mcc,The Johns Hopkins Hospital,Baltimore,MD,18482.91,82144.23
146,MS-DRG,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",The Cleveland Clinic Foundation,Cleveland,OH,16500.0,62901.93
146,MS-DRG,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC",The Cleveland Clinic Foundation,Cleveland,OH,16500.0,62901.93
146,MS-DRG,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC",The Mount Sinai Hospital,New York,NY,13065.52,78621.71
146,MS-DRG,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC",The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,66110.18
146,MS-DRG,"Ear, Nose, Mouth And Throat Malignancy With McC",Mayo Clinic,Phoenix,AZ,14336.2,68287.7
146,MS-DRG,"Ear, Nose, Mouth And Throat Malignancy With Mcc",Johns Hopkins Howard County Medical Center,Columbia,MD,6296.7,6296.7
146,MS-DRG,"Ear, Nose, Mouth And Throat Malignancy With Mcc",The Johns Hopkins Hospital,Baltimore,MD,17611.76,106533.32
146,MS-DRG,Rectal Resection W/CC,The Cleveland Clinic Foundation,Cleveland,OH,16500.0,62901.93
146,RC,Detoxification,The Mount Sinai Hospital,New York,NY,1152.15,1152.15
149,MS-DRG,DYSEQUILIBRIUM,The Cleveland Clinic Foundation,Cleveland,OH,7224.81,31200.0
149,MS-DRG,DYSEQUILIBRIUM,The Mount Sinai Hospital,New York,NY,4609.14,27735.48
149,MS-DRG,DYSEQUILIBRIUM,The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,22434.4
149,MS-DRG,Dysequilibrium,Johns Hopkins Howard County Medical Center,Columbia,MD,3068.82,10315.16
149,MS-DRG,Dysequilibrium,Mayo Clinic,Phoenix,AZ,5057.4,29989.98
149,MS-DRG,Dysequilibrium,The Cleveland Clinic Foundation,Cleveland,OH,7224.81,31200.0
149,MS-DRG,Dysequilibrium,The Johns Hopkins Hospital,Baltimore,MD,1098.83,29532.98
149,MS-DRG,Pelvic Pouch,The Cleveland Clinic Foundation,Cleveland,OH,7224.81,31200.0
152,EAPG,LEVEL II HEPATOBILIARY AND PANCREAS PROCEDURES,The Mount Sinai Hospital,New York,NY,2473.4,5984.88
152,MS-DRG,OTITIS MEDIA & URI W MCC,The Cleveland Clinic Foundation,Cleveland,OH,10556.2,31115.08
152,MS-DRG,OTITIS MEDIA AND URI WITH MCC,The Cleveland Clinic Foundation,Cleveland,OH,10556.2,31115.08
152,MS-DRG,OTITIS MEDIA AND URI WITH MCC,The Mount Sinai Hospital,New York,NY,7354.07,44253.11
152,MS-DRG,OTITIS MEDIA AND URI WITH MCC,The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,33371.68
152,MS-DRG,Otitis Media And Uri With McC,Mayo Clinic,Phoenix,AZ,8069.29,24195.01
152,MS-DRG,Otitis Media And Uri With Mcc,Johns Hopkins Howard County Medical Center,Columbia,MD,1663.07,6524.76
152,MS-DRG,Otitis Media And Uri With Mcc,The Johns Hopkins Hospital,Baltimore,MD,5716.06,27664.49
153,EAPG,LEVEL II ERCP AND RELATED ENDOSCOPIC PROCEDURES,The Mount Sinai Hospital,New York,NY,1542.42,3732.2
153,MS-DRG,OTITIS MEDIA & URI W/O MCC,The Cleveland Clinic Foundation,Cleveland,OH,6916.88,19514.1
153,MS-DRG,OTITIS MEDIA AND URI WITHOUT MCC,The Cleveland Clinic Foundation,Cleveland,OH,6916.88,19514.1
153,MS-DRG,OTITIS MEDIA AND URI WITHOUT MCC,The Mount Sinai Hospital,New York,NY,4547.86,27366.76
153,MS-DRG,OTITIS MEDIA AND URI WITHOUT MCC,The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,21423.36
153,MS-DRG,Otitis Media And Uri Without McC,Mayo Clinic,Phoenix,AZ,4990.17,21677.1
153,MS-DRG,Otitis Media And Uri Without Mcc,Johns Hopkins Howard County Medical Center,Columbia,MD,1115.65,10649.1
153,MS-DRG,Otitis Media And Uri Without Mcc,The Johns Hopkins Hospital,Baltimore,MD,2227.02,14027.13
155,EAPG,LEVEL III BLOOD PRODUCT EXCHANGE SERVICES,The Mount Sinai Hospital,New York,NY,2202.02,5328.24
155,MS-DRG,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",The Cleveland Clinic Foundation,Cleveland,OH,8825.56,25598.38
155,MS-DRG,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC",The Cleveland Clinic Foundation,Cleveland,OH,8825.56,25598.38
155,MS-DRG,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC",The Mount Sinai Hospital,New York,NY,5858.75,35255.0
155,MS-DRG,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC",The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,27689.79
155,MS-DRG,"Other Ear, Nose, Mouth And Throat Diagnoses With Cc",Johns Hopkins Howard County Medical Center,Columbia,MD,2548.21,20216.86
155,MS-DRG,"Other Ear, Nose, Mouth And Throat Diagnoses With Cc",Mayo Clinic,Phoenix,AZ,6428.54,23079.59
155,MS-DRG,"Other Ear, Nose, Mouth And Throat Diagnoses With Cc",The Johns Hopkins Hospital,Baltimore,MD,5358.23,40889.31
156,EAPG,OCULAR IMAGING AND RELATED SERVICES,The Mount Sinai Hospital,New York,NY,112.73,272.77
156,MS-DRG,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",The Cleveland Clinic Foundation,Cleveland,OH,6578.84,18436.54
156,MS-DRG,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITHOUT CC/MCC",The Cleveland Clinic Foundation,Cleveland,OH,6578.84,18436.54
156,MS-DRG,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITHOUT CC/MCC",The Mount Sinai Hospital,New York,NY,4057.06,24413.33
156,MS-DRG,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITHOUT CC/MCC",The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,21886.08
156,MS-DRG,"Other Ear, Nose, Mouth And Throat Diagnoses Without Cc/McC",Mayo Clinic,Phoenix,AZ,4451.62,29199.87
156,MS-DRG,"Other Ear, Nose, Mouth And Throat Diagnoses Without Cc/Mcc",Johns Hopkins Howard County Medical Center,Columbia,MD,6544.88,6544.88
156,MS-DRG,"Other Ear, Nose, Mouth And Throat Diagnoses Without Cc/Mcc",The Johns Hopkins Hospital,Baltimore,MD,3323.52,12901.89
156,RC,Detoxification,The Mount Sinai Hospital,New York,NY,1152.15,1152.15
157,MS-DRG,Anal and Stomal Procedures  W/CC,The Cleveland Clinic Foundation,Cleveland,OH,12400.0,44898.61
157,MS-DRG,DENTAL & ORAL DISEASES W MCC,The Cleveland Clinic Foundation,Cleveland,OH,12400.0,44898.61
157,MS-DRG,DENTAL AND ORAL DISEASES WITH MCC,The Cleveland Clinic Foundation,Cleveland,OH,12400.0,44898.61
157,MS-DRG,DENTAL AND ORAL DISEASES WITH MCC,The Mount Sinai Hospital,New York,NY,10565.06,63575.21
157,MS-DRG,DENTAL AND ORAL DISEASES WITH MCC,The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,47567.87
157,MS-DRG,Dental And Oral Diseases With McC,Mayo Clinic,Phoenix,AZ,11592.56,35488.02
157,MS-DRG,Dental And Oral Diseases With Mcc,Johns Hopkins Howard County Medical Center,Columbia,MD,9073.22,16228.61
157,MS-DRG,Dental And Oral Diseases With Mcc,The Johns Hopkins Hospital,Baltimore,MD,10502.12,32706.44
158,EAPG,PATHOLOGY CONSULTATION AND INTERPRETATION,The Mount Sinai Hospital,New York,NY,72.63,175.74
158,MS-DRG,Anal and Stomal Procedures W/0 cc,The Cleveland Clinic Foundation,Cleveland,OH,7000.0,25790.31
158,MS-DRG,DENTAL & ORAL DISEASES W CC,The Cleveland Clinic Foundation,Cleveland,OH,7000.0,25790.31
158,MS-DRG,DENTAL AND ORAL DISEASES WITH CC,The Cleveland Clinic Foundation,Cleveland,OH,7000.0,25790.31
158,MS-DRG,DENTAL AND ORAL DISEASES WITH CC,The Mount Sinai Hospital,New York,NY,5808.62,34953.33
158,MS-DRG,DENTAL AND ORAL DISEASES WITH CC,The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,27887.53
158,MS-DRG,Dental And Oral Diseases With Cc,Johns Hopkins Howard County Medical Center,Columbia,MD,3087.05,21539.75
158,MS-DRG,Dental And Oral Diseases With Cc,Mayo Clinic,Phoenix,AZ,6373.53,18587.75
158,MS-DRG,Dental And Oral Diseases With Cc,The Johns Hopkins Hospital,Baltimore,MD,4706.21,48627.36
158,RC,Rehab,The Mount Sinai Hospital,New York,NY,2416.0,6570.68
159,EAPG,MINOR UROLOGY SERVICES,The Mount Sinai Hospital,New York,NY,421.67,1020.31
159,MS-DRG,DENTAL & ORAL DISEASES W/O CC/MCC,The Cleveland Clinic Foundation,Cleveland,OH,6468.74,18085.57
159,MS-DRG,DENTAL AND ORAL DISEASES WITHOUT CC/MCC,The Cleveland Clinic Foundation,Cleveland,OH,6468.74,18085.57
159,MS-DRG,DENTAL AND ORAL DISEASES WITHOUT CC/MCC,The Mount Sinai Hospital,New York,NY,4178.98,25147.03
159,MS-DRG,DENTAL AND ORAL DISEASES WITHOUT CC/MCC,The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,20242.3
159,MS-DRG,Dental And Oral Diseases Without Cc/McC,Mayo Clinic,Phoenix,AZ,4585.41,13962.6
159,MS-DRG,Dental And Oral Diseases Without Cc/Mcc,Johns Hopkins Howard County Medical Center,Columbia,MD,3993.49,5887.19
159,MS-DRG,Dental And Oral Diseases Without Cc/Mcc,The Johns Hopkins Hospital,Baltimore,MD,5935.14,19766.97
163,APR-DRG,CARDIAC VALVE PROCEDURES WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS,Mayo Clinic,Phoenix,AZ,12933.11,292922.205
163,MS-DRG,MAJOR CHEST PROCEDURES W MCC,The Cleveland Clinic Foundation,Cleveland,OH,16244.0,126379.65
163,MS-DRG,MAJOR CHEST PROCEDURES WITH MCC,The Cleveland Clinic Foundation,Cleveland,OH,16244.0,126379.65
163,MS-DRG,MAJOR CHEST PROCEDURES WITH MCC,The Mount Sinai Hospital,New York,NY,29173.67,175552.49
163,MS-DRG,MAJOR CHEST PROCEDURES WITH MCC,The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,322003.03
163,MS-DRG,Major Chest Procedures With McC,Mayo Clinic,Phoenix,AZ,32010.95,150026.98
163,MS-DRG,Major Chest Procedures With Mcc,Johns Hopkins Howard County Medical Center,Columbia,MD,43208.02,55225.14
163,MS-DRG,Major Chest Procedures With Mcc,The Johns Hopkins Hospital,Baltimore,MD,19499.51,108554.75
166,APR-DRG,CORONARY BYPASS WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS,Mayo Clinic,Phoenix,AZ,12113.92,167090.03
166,EAPG,LEVEL I URETHRAL PROCEDURES,The Mount Sinai Hospital,New York,NY,1081.09,2615.92
166,MS-DRG,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,The Cleveland Clinic Foundation,Cleveland,OH,16244.0,105571.38
166,MS-DRG,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC,The Cleveland Clinic Foundation,Cleveland,OH,16244.0,105571.38
166,MS-DRG,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC,The Mount Sinai Hospital,New York,NY,25114.76,151127.99
166,MS-DRG,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC,The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,110538.34
166,MS-DRG,Other Respiratory System O.R. Procedures With McC,Mayo Clinic,Phoenix,AZ,27557.28,98348.09
166,MS-DRG,Other Respiratory System O.R. Procedures With Mcc,Johns Hopkins Howard County Medical Center,Columbia,MD,5001.44,20410.12
166,MS-DRG,Other Respiratory System O.R. Procedures With Mcc,The Johns Hopkins Hospital,Baltimore,MD,8251.66,192134.22
167,APR-DRG,OTHER CARDIOTHORACIC AND THORACIC CIRCULATORY PROCEDURES,Mayo Clinic,Phoenix,AZ,11696.47,127950.95
167,EAPG,LEVEL II URETHRAL PROCEDURES,The Mount Sinai Hospital,New York,NY,2727.16,6598.91
167,MS-DRG,OTHER RESP SYSTEM O.R. PROCEDURES W CC,The Cleveland Clinic Foundation,Cleveland,OH,16244.0,50100.0
167,MS-DRG,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC,The Cleveland Clinic Foundation,Cleveland,OH,16244.0,50100.0
167,MS-DRG,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC,The Mount Sinai Hospital,New York,NY,11263.21,67776.31
167,MS-DRG,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC,The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,52924.97
167,MS-DRG,Other Respiratory System O.R. Procedures With Cc,Johns Hopkins Howard County Medical Center,Columbia,MD,13967.86,16330.26
167,MS-DRG,Other Respiratory System O.R. Procedures With Cc,Mayo Clinic,Phoenix,AZ,12358.6,56383.51
167,MS-DRG,Other Respiratory System O.R. Procedures With Cc,The Johns Hopkins Hospital,Baltimore,MD,15679.73,73483.26
175,APR-DRG,PERCUTANEOUS CARDIAC INTERVENTION WITHOUT AMI,Mayo Clinic,Phoenix,AZ,7905.53,108463.85
175,MS-DRG,PULMONARY EMBOLISM W MCC,The Cleveland Clinic Foundation,Cleveland,OH,12915.61,38636.11
175,MS-DRG,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,The Cleveland Clinic Foundation,Cleveland,OH,12915.61,38636.11
175,MS-DRG,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,The Mount Sinai Hospital,New York,NY,8683.52,52253.09
175,MS-DRG,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,49658.05
175,MS-DRG,Pulmonary Embolism With McC Or Acute Cor Pulmonale,Mayo Clinic,Phoenix,AZ,9528.04,44092.38
175,MS-DRG,Pulmonary Embolism With Mcc Or Acute Cor Pulmonale,Johns Hopkins Howard County Medical Center,Columbia,MD,4571.8,19108.04
175,MS-DRG,Pulmonary Embolism With Mcc Or Acute Cor Pulmonale,The Johns Hopkins Hospital,Baltimore,MD,1803.06,93432.85
176,APR-DRG,"INSERTION, REVISION AND REPLACEMENTS OF PACEMAKER AND OTHER CARDIAC DEVICES",Mayo Clinic,Phoenix,AZ,6763.73,105160.82500000001
176,EAPG,ANESTH PHARYNGEAL SURGERY,The Cleveland Clinic Foundation,Cleveland,OH,198.95,230.36
176,EAPG,LEVEL I PROSTATE PROCEDURES,The Mount Sinai Hospital,New York,NY,2145.28,5190.95
176,MS-DRG,PULMONARY EMBOLISM W/O MCC,The Cleveland Clinic Foundation,Cleveland,OH,7801.12,25000.0
176,MS-DRG,PULMONARY EMBOLISM WITHOUT MCC,The Cleveland Clinic Foundation,Cleveland,OH,7801.12,25000.0
176,MS-DRG,PULMONARY EMBOLISM WITHOUT MCC,The Mount Sinai Hospital,New York,NY,5047.96,30376.06
176,MS-DRG,PULMONARY EMBOLISM WITHOUT MCC,The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,24326.44
176,MS-DRG,Pulmonary Embolism Without McC,Mayo Clinic,Phoenix,AZ,5538.89,26106.49
176,MS-DRG,Pulmonary Embolism Without Mcc,Johns Hopkins Howard County Medical Center,Columbia,MD,1641.45,17476.2
176,MS-DRG,Pulmonary Embolism Without Mcc,The Johns Hopkins Hospital,Baltimore,MD,3388.9,31046.9
177,EAPG,MINOR DERMATOLOGY SERVICES,The Mount Sinai Hospital,New York,NY,45.88,111.02
177,MS-DRG,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,The Cleveland Clinic Foundation,Cleveland,OH,14699.57,50902.0
177,MS-DRG,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,The Cleveland Clinic Foundation,Cleveland,OH,14699.57,50902.0
177,MS-DRG,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,The Mount Sinai Hospital,New York,NY,10499.45,63180.42
177,MS-DRG,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,71324.43
177,MS-DRG,Respiratory Infections And Inflammations With McC,Mayo Clinic,Phoenix,AZ,11520.57,47990.85
177,MS-DRG,Respiratory Infections And Inflammations With Mcc,Johns Hopkins Howard County Medical Center,Columbia,MD,3777.52,27614.19
177,MS-DRG,Respiratory Infections And Inflammations With Mcc,The Johns Hopkins Hospital,Baltimore,MD,1114.79,87039.26
178,EAPG,ANTEPARTUM PROCEDURES,The Mount Sinai Hospital,New York,NY,817.24,1977.48
178,MS-DRG,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,The Cleveland Clinic Foundation,Cleveland,OH,9328.76,33500.0
178,MS-DRG,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,The Cleveland Clinic Foundation,Cleveland,OH,9328.76,33500.0
178,MS-DRG,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,The Mount Sinai Hospital,New York,NY,6106.94,36748.48
178,MS-DRG,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,64710.84
178,MS-DRG,Respiratory Infections And Inflammations With Cc,Johns Hopkins Howard County Medical Center,Columbia,MD,1507.24,17029.76
178,MS-DRG,Respiratory Infections And Inflammations With Cc,Mayo Clinic,Phoenix,AZ,6700.87,35653.97
178,MS-DRG,Respiratory Infections And Inflammations With Cc,The Johns Hopkins Hospital,Baltimore,MD,5554.49,44239.29
179,EAPG,ECTOPIC PREGNANCY PROCEDURES,The Mount Sinai Hospital,New York,NY,1736.05,4200.73
179,MS-DRG,RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,The Cleveland Clinic Foundation,Cleveland,OH,7415.77,23600.0
179,MS-DRG,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,The Cleveland Clinic Foundation,Cleveland,OH,7415.77,23600.0
179,MS-DRG,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,The Mount Sinai Hospital,New York,NY,4724.26,28428.21
179,MS-DRG,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,24186.0
179,MS-DRG,Respiratory Infections And Inflammations Without Cc/McC,Mayo Clinic,Phoenix,AZ,5183.71,23409.01
179,MS-DRG,Respiratory Infections And Inflammations Without Cc/Mcc,Johns Hopkins Howard County Medical Center,Columbia,MD,3282.72,10666.27
179,MS-DRG,Respiratory Infections And Inflammations Without Cc/Mcc,The Johns Hopkins Hospital,Baltimore,MD,1114.79,62584.69
180,APR-DRG,OTHER CIRCULATORY SYSTEM PROCEDURES,Mayo Clinic,Phoenix,AZ,3413.06,91961.215
180,EAPG,TESTICULAR AND EPIDIDYMAL PROCEDURES,The Mount Sinai Hospital,New York,NY,1400.87,3389.69
180,MS-DRG,RESPIRATORY NEOPLASMS W MCC,The Cleveland Clinic Foundation,Cleveland,OH,15828.96,47922.93
180,MS-DRG,RESPIRATORY NEOPLASMS WITH MCC,The Cleveland Clinic Foundation,Cleveland,OH,15828.96,47922.93
